FirstReading,Psalm,SecondReading,Acclamation,Gospel,Date,Day
Jeremiah 33:14-16,"Psalms 25:4-5, 8-9, 10, 14",1 Thessalonians 3:12--4:2,Psalms 85:8,"Luke 21:25-28, 34-36",2018-12-02,First Sunday of Advent
Isaiah 2:1-5,"Psalms 122:1-2, 3-4, 4-5, 6-7, 8-9",,Psalms 80:4,Matthew 8:5-11,2018-12-03,"Memorial of Saint Francis Xavier, Priest"
 Isaiah 11:1-10,"Psalms 72:1-2, 7-8, 12-13, 17",,,Luke 10:21-24,2018-12-04,Tuesday of the First Week of Advent
Isaiah 25:6-10,"Psalms 23:1-3, 3-4, 5, 6",,,Matthew 15:29-37,2018-12-05,Wednesday of the First Week of Advent
Isaiah 26:1-6,"Psalms 118:1, 8-9, 19-21, 25-27",,Isaiah 55:6,"Matthew 7:21, 24-27",2018-12-06,Thursday of the First Week of Advent
Isaiah 29:17-24,"Psalms 27:1, 4, 13-14",,,Matthew 9:27-31,2018-12-07,"Memorial of Saint Ambrose, Bishop and Doctor of the Church"
"Genesis 3:9-15, 20","Psalms 98:1, 2-3, 3-4","Ephesians 1:3-6, 11-12",Luke 1:28,Luke 1:26-38,2018-12-08,Solemnity of the Immaculate Conception of the Blessed Virgin Mary
Baruch 5:1-9,"Psalms 126:1-2, 2-3, 4-5, 6.","Philippians 1:4-6, 8-11","Luke 3:4, 6",Luke 3:1-6,2018-12-09,Second Sunday of Advent
Isaiah 35:1-10,"Psalms 85:9, 10, 11-12, 13-14",,,Luke 5:17-26,2018-12-10,Monday of the Second Week of Advent
Isaiah 40:1-11,"Psalms 96:1-2, 3, 10, 11-12, 13",,,Matthew 18:12-14,2018-12-11,Tuesday of the Second Week of Advent
Zechariah 2:14-17,"Judith 13:18, 19",,,Luke 1:26-38,2018-12-12,Feast of Our Lady of Guadalupe
Isaiah 41:13-20,"Psalms 145:1, 9, 10-11, 12-13",,Isaiah 45:8,Matthew 11:11-15,2018-12-13,"Memorial of Saint Lucy, Virgin and Martyr"
Isaiah 48:17-19,"Psalms 1:1-2, 3, 4, 6",,,Matthew 11:16-19,2018-12-14,"Memorial of Saint John of the Cross, Priest and Doctor of the Church"
"Sirach 48:1-4, 9-11","Psalms 80:2, 3, 15-16, 18-19",,"Luke 3:4, 6","Matthew 17:9, 10-13",2018-12-15,Saturday of the Second Week of Advent
Zephaniah 3:14-18,"Isaiah 12:2-3, 4, 5-6.",Philippians 4:4-7,Isaiah 61:1 ,Luke 3:10-18,2018-12-16,Third Sunday of Advent
"Genesis 49:2, 8-10","Psalms 72:1-2, 3-4, 7-8, 17",,,Matthew 1:1-17,2018-12-17,Monday of the Third Week in Advent
Jeremiah 23:5-8,"Psalms 72:1-2, 12-13, 18-19",,,Matthew 1:18-25,2018-12-18,Tuesday of the Third Week of Advent
"Judges 13:2-7, 24-25","Psalms 71:3-4, 5-6, 16-17",,,Luke 1:5-25,2018-12-19,Wednesday of the Third Week of Advent
Isaiah 7:10-14,"Psalms 24:1-2, 3-4, 5-6",,,Luke 1:26-38,2018-12-20,Thursday of the Third Week of Advent
Solomon 2:8-14,"Psalms 33:2-3, 11-12, 20-21",,,Luke 1:39-45,2018-12-21,Friday of the Third Week of Advent
1 Samuel 1:24-28,"1 Samuel 2:1, 4-5, 6-7, 8",,,Luke 1:46-56,2018-12-22,Saturday of the Third Week of Advent
Micah 5:1-4,"Psalms 80:2-3, 15-16, 18-19",Hebrews 10:5-10,Luke 1:38,Luke 1:39-45,2018-12-23,Fourth Sunday of Advent
"2 Samuel 7:1-5, 8-12, 14, 16","Psalms 89:2-3, 4-5, 27, 29",,,Luke 1:67-79,2018-12-24,Monday in Fourth Week of Advent - Mass in the Morning
Acts 6:8-10; 7:54-59,"Psalms 31:3-4, 6, 8, 16, 17",,"Psalms 118:26, 27",Matthew 10:17-22,2018-12-26,"Feast of Saint Stephen, first martyr"
1 John 1:1-4,"Psalms 97:1-2, 5-6, 11-12",,,"John 20:1, 2-8",2018-12-27,"Feast of Saint John, Apostle and evangelist"
1 John 1:5--2:2,"Psalms 124:2-3, 4-5, 7-8",,,Matthew 2:13-18,2018-12-28,"Feast of the Holy Innocents, martyrs"
1 John 2:3-11,"Psalms 96:1-2, 2-3, 5-6",,Luke 2:32,Luke 2:22-35,2018-12-29,The Fifth Day in the Octave of Christmas
"Sirach 3:2-6, 12-14","Psalms 128:1-2, 3, 4-5.",Colossians 3:12-21 ,"Colossians 3:15, 16",Luke 2:41-52,2018-12-30,"Feast of the Holy Family of Jesus, Mary and Joseph"
1 John 2:18-21,"Psalms 96:1-2, 11-12, 13",,"John 1:14, 12",John 1:1-18,2018-12-31,The Seventh Day in the Octave of Christmas
